TIME,CH1
0,0.96
0.000300000000000022,0.72
0.000599999999999989,0.92
0.001,0.72
0.00130000000000002,0.96
0.00159999999999999,0.84
0.00190000000000001,0.76
0.00219999999999998,0.8
0.00259999999999999,0.76
0.00290000000000001,0.6
0.00319999999999998,0.8
0.0035,0.72
0.00380000000000003,0.88
0.00419999999999998,0.76
0.0045,0.92
0.00480000000000003,0.92
0.00509999999999999,1.2
0.00540000000000002,0.8
0.00580000000000003,0.92
0.00609999999999999,0.8
0.00640000000000002,0.96
0.00669999999999998,0.64
0.00700000000000001,0.72
0.00740000000000002,0.96
0.00769999999999998,1.04
0.00800000000000001,0.88
0.00830000000000003,0.52
0.0086,0.64
0.00900000000000001,0.68
0.00930000000000003,0.64
0.0096,0.56
0.00990000000000002,0.56
0.0102,0.96
0.0106,0.64
0.0109,0.64
0.0112,0.76
0.0115,0.88
0.0118,0.76
0.0122,1
0.0125,0.68
0.0128,0.68
0.0131,0.72
0.0134,0.6
0.0138,0.6
0.0141,0.6
0.0144,0.6
0.0147,0.8
0.015,0.76
0.0154,0.8
0.0157,0.88
0.016,0.68
0.0163,0.6
0.0166,1.12
0.017,0.56
0.0173,0.68
0.0176,0.68
0.0179,1
0.0182,0.96
0.0186,0.72
0.0189,0.84
0.0192,0.56
0.0195,0.64
0.0198,0.56
0.0202,0.76
0.0205,0.76
0.0208,0.64
0.0211,0.92
0.0214,0.72
0.0218,0.8
0.0221,0.8
0.0224,0.84
0.0227,0.68
0.023,0.96
0.0234,0.6
0.0237,0.6
0.024,1.16
0.0243,0.6
0.0246,1.24
0.025,0.6
0.0253,0.56
0.0256,1.08
0.0259,0.56
0.0262,0.88
0.0266,0.64
0.0269,0.92
0.0272,0.76
0.0275,0.8
0.0278,0.6
0.0282,0.6
0.0285,0.68
0.0288,0.76
0.0291,1.08
0.0294,0.68
0.0298,0.76
0.0301,0.72
0.0304,1.2
0.0307,0.68
0.031,0.92
0.0314,0.76
0.0317,0.6
0.032,0.56
0.0323,1.12
0.0326,0.64
0.033,0.88
0.0333,0.72
0.0336,1.28
0.0339,0.64
0.0342,0.88
0.0346,0.72
0.0349,0.92
0.0352,0.6
0.0355,0.84
0.0358,0.64
0.0362,1.04
0.0365,0.64
0.0368,0.68
0.0371,0.72
0.0374,0.88
0.0378,0.8
0.0381,0.88
0.0384,0.76
0.0387,0.64
0.039,0.64
0.0394,0.8
0.0397,0.56
0.04,0.52
0.0403,0.56
0.0406,0.8
0.041,0.76
0.0413,0.76
0.0416,0.6
0.0419,0.92
0.0422,0.68
0.0426,0.68
0.0429,0.88
0.0432,0.68
0.0435,0.72
0.0438,0.88
0.0442,0.84
0.0445,1.08
0.0448,1.16
0.0451,0.88
0.0454,0.64
0.0458,0.8
0.0461,0.68
0.0464,0.72
0.0467,0.84
0.047,0.8
0.0474,0.6
0.0477,0.76
0.048,0.92
0.0483,0.72
0.0486,0.96
0.049,0.8
0.0493,0.72
0.0496,1.08
0.0499,0.6
0.0502,0.8
0.0506,0.76
0.0509,0.88
0.0512,0.8
0.0515,0.68
0.0518,0.72
0.0522,0.84
0.0525,0.56
0.0528,0.6
0.0531,0.8
0.0534,0.68
0.0538,0.68
0.0541,0.8
0.0544,0.76
0.0547,0.6
0.055,0.6
0.0554,0.72
0.0557,0.64
0.056,0.8
0.0563,0.6
0.0566,0.92
0.057,0.76
0.0573,0.8
0.0576,1.08
0.0579,0.64
0.0582,0.72
0.0586,0.96
0.0589,0.92
0.0592,0.88
0.0595,0.8
0.0598,0.84
0.0602,1.2
0.0605,1.24
0.0608,0.76
0.0611,0.68
0.0614,0.64
0.0618,0.56
0.0621,1.04
0.0624,0.6
0.0627,0.72
0.063,0.88
0.0634,0.6
0.0637,0.56
0.064,0.8
0.0643,0.68
0.0646,0.6
0.065,0.8
0.0653,0.8
0.0656,0.72
0.0659,0.72
0.0662,0.88
0.0666,0.56
0.0669,0.68
0.0672,0.84
0.0675,0.72
0.0678,0.8
0.0682,0.64
0.0685,0.56
0.0688,0.64
0.0691,0.84
0.0694,0.64
0.0698,0.84
0.0701,0.76
0.0704,0.6
0.0707,1.04
0.071,0.84
0.0714,1.08
0.0717,1.04
0.072,0.56
0.0723,0.64
0.0726,0.84
0.073,0.56
0.0733,0.84
0.0736,1.12
0.0739,1.04
0.0742,0.76
0.0746,0.96
0.0749,0.72
0.0752,1.2
0.0755,0.76
0.0758,0.64
0.0762,0.6
0.0765,0.6
0.0768,0.72
0.0771,0.64
0.0774,0.68
0.0778,0.92
0.0781,0.56
0.0784,0.96
0.0787,0.56
0.079,0.72
0.0794,0.88
0.0797,0.76
0.08,0.6
0.0803,0.92
0.0806,0.96
0.081,0.72
0.0813,0.64
0.0816,0.76
0.0819,0.76
0.0822,0.68
0.0826,0.8
0.0829,0.92
0.0832,0.56
0.0835,0.56
0.0838,0.72
0.0842,0.68
0.0845,0.6
0.0848,0.68
0.0851,0.56
0.0854,0.72
0.0858,0.68
0.0861,0.6
0.0864,0.8
0.0867,0.68
0.087,0.6
0.0874,1.2
0.0877,0.64
0.088,0.64
0.0883,0.8
0.0886,0.56
0.089,0.76
0.0893,1
0.0896,0.6
0.0899,0.88
0.0902,0.84
0.0906,0.68
0.0909,0.64
0.0912,0.6
0.0915,0.8
0.0918,0.72
0.0922,1.12
0.0925,0.68
0.0928,0.76
0.0931,0.56
0.0934,0.68
0.0938,0.84
0.0941,0.6
0.0944,0.88
0.0947,0.6
0.095,0.72
0.0954,0.64
0.0957,0.52
0.096,0.88
0.0963,0.64
0.0966,0.92
0.097,0.68
0.0973,0.88
0.0976,0.56
0.0979,0.68
0.0982,0.96
0.0986,0.96
0.0989,0.88
0.0992,0.96
0.0995,0.76
0.0998,0.68
0.1002,0.68
0.1005,0.76
0.1008,0.56
0.1011,0.64
0.1014,0.68
0.1018,0.72
0.1021,0.8
0.1024,0.56
0.1027,0.92
0.103,0.96
0.1034,0.64
0.1037,0.64
0.104,0.52
0.1043,0.56
0.1046,0.68
0.105,0.72
0.1053,0.6
0.1056,0.72
0.1059,0.8
0.1062,0.6
0.1066,0.56
0.1069,0.92
0.1072,0.92
0.1075,0.6
0.1078,0.6
0.1082,0.84
0.1085,1.12
0.1088,0.72
0.1091,0.8
0.1094,0.6
0.1098,0.6
0.1101,1.04
0.1104,0.92
0.1107,0.68
0.111,1.12
0.1114,0.88
0.1117,0.56
0.112,0.76
0.1123,0.88
0.1126,0.6
0.113,0.56
0.1133,0.76
0.1136,0.64
0.1139,0.8
0.1142,0.68
0.1146,0.8
0.1149,0.88
0.1152,0.6
0.1155,0.8
0.1158,0.92
0.1162,0.92
0.1165,0.92
0.1168,0.64
0.1171,0.8
0.1174,0.88
0.1178,0.56
0.1181,0.64
0.1184,0.56
0.1187,0.88
0.119,0.68
0.1194,0.92
0.1197,0.72
0.12,1
0.1203,0.76
0.1206,0.6
0.121,0.76
0.1213,0.92
0.1216,0.64
0.1219,0.6
0.1222,0.84
0.1226,0.96
0.1229,0.88
0.1232,0.84
0.1235,0.8
0.1238,0.84
0.1242,0.64
0.1245,0.56
0.1248,0.76
0.1251,0.72
0.1254,1.2
0.1258,1.04
0.1261,0.88
0.1264,0.8
0.1267,0.88
0.127,1
0.1274,0.88
0.1277,0.56
0.128,0.88
0.1283,0.92
0.1286,0.76
0.129,0.64
0.1293,0.56
0.1296,0.8
0.1299,0.92
0.1302,0.72
0.1306,0.88
0.1309,0.96
0.1312,0.64
0.1315,0.72
0.1318,0.6
0.1322,0.56
0.1325,0.72
0.1328,0.72
0.1331,0.92
0.1334,0.56
0.1338,0.6
0.1341,0.68
0.1344,1.04
0.1347,1.12
0.135,0.8
0.1354,0.64
0.1357,0.68
0.136,0.84
0.1363,0.64
0.1366,0.8
0.137,0.92
0.1373,0.64
0.1376,0.76
0.1379,0.64
0.1382,0.56
0.1386,0.6
0.1389,0.76
0.1392,0.8
0.1395,0.68
0.1398,0.68
0.1402,0.72
0.1405,0.8
0.1408,0.84
0.1411,0.72
0.1414,0.84
0.1418,0.84
0.1421,0.84
0.1424,0.96
0.1427,1
0.143,0.64
0.1434,0.64
0.1437,0.64
0.144,0.68
0.1443,0.68
0.1446,0.92
0.145,0.8
0.1453,0.8
0.1456,0.76
0.1459,1.04
0.1462,0.92
0.1466,0.64
0.1469,0.6
0.1472,1.16
0.1475,0.56
0.1478,0.8
0.1482,1.08
0.1485,0.8
0.1488,0.64
0.1491,0.84
0.1494,0.88
0.1498,0.8
0.1501,1.24
0.1504,0.92
0.1507,0.68
0.151,1.28
0.1514,0.6
0.1517,0.56
0.152,0.64
0.1523,0.72
0.1526,0.68
0.153,0.56
0.1533,0.6
0.1536,0.56
0.1539,0.52
0.1542,0.68
0.1546,0.88
0.1549,0.6
0.1552,1.28
0.1555,0.44
0.1558,0.6
0.1562,0.68
0.1565,0.76
0.1568,0.68
0.1571,0.76
0.1574,0.8
0.1578,1.16
0.1581,0.68
0.1584,0.84
0.1587,0.6
0.159,0.8
0.1594,0.68
0.1597,1.32
0.16,0.6
0.1603,0.64
0.1606,1
0.161,1
0.1613,0.92
0.1616,0.6
0.1619,1.12
0.1622,1.12
0.1626,0.88
0.1629,0.96
0.1632,0.96
0.1635,0.84
0.1638,0.72
0.1642,0.6
0.1645,1.08
0.1648,0.76
0.1651,0.92
0.1654,1.04
0.1658,0.76
0.1661,0.76
0.1664,1.12
0.1667,0.92
0.167,0.72
0.1674,0.84
0.1677,0.6
0.168,0.68
0.1683,0.88
0.1686,0.68
0.169,0.76
0.1693,0.8
0.1696,0.52
0.1699,0.8
0.1702,0.64
0.1706,0.76
0.1709,0.76
0.1712,0.92
0.1715,0.6
0.1718,0.64
0.1722,0.6
0.1725,1.04
0.1728,0.72
0.1731,0.92
0.1734,0.96
0.1738,1.08
0.1741,0.68
0.1744,0.8
0.1747,0.8
0.175,0.76
0.1754,0.6
0.1757,0.64
0.176,0.76
0.1763,0.88
0.1766,0.56
0.177,0.88
0.1773,0.68
0.1776,0.68
0.1779,0.68
0.1782,1.2
0.1786,0.76
0.1789,0.56
0.1792,0.68
0.1795,0.92
0.1798,0.84
0.1802,0.76
0.1805,1.12
0.1808,0.8
0.1811,0.6
0.1814,0.84
0.1818,0.84
0.1821,0.6
0.1824,0.88
0.1827,0.68
0.183,0.92
0.1834,0.68
0.1837,0.96
0.184,0.56
0.1843,0.84
0.1846,0.8
0.185,0.6
0.1853,0.88
0.1856,0.8
0.1859,0.6
0.1862,0.64
0.1866,1.16
0.1869,0.64
0.1872,0.56
0.1875,0.68
0.1878,0.8
0.1882,0.6
0.1885,0.84
0.1888,0.92
0.1891,0.96
0.1894,0.76
0.1898,0.56
0.1901,0.88
0.1904,0.72
0.1907,0.84
0.191,0.96
0.1914,0.88
0.1917,0.88
0.192,1.04
0.1923,0.88
0.1926,0.56
0.193,0.56
0.1933,0.8
0.1936,0.8
0.1939,0.8
0.1942,0.88
0.1946,0.6
0.1949,0.64
0.1952,0.72
0.1955,0.88
0.1958,0.56
0.1962,0.96
0.1965,0.8
0.1968,0.88
0.1971,0.88
0.1974,0.6
0.1978,0.6
0.1981,0.8
0.1984,0.84
0.1987,0.72
0.199,0.92
0.1994,1.12
0.1997,1.28
0.2,0.68
